 Kello      Hinta   M‰‰r‰  Ostaja   Myyj‰
 18:15:10    8.91     966     MLI     GSI
 18:15:10    8.91     300     MLI     EQB
 18:15:10    8.91   10000     MLI      UB
 18:15:10    8.91    2500     MLI     NEO
 18:15:10    8.91   10598     MLI     NRD
 18:15:09    8.90     724     GSI     DBL
 18:15:09    8.90    1057     DBL     DBL
 18:15:08    8.90    6613     BPP     BPP
 18:15:05    8.90     500     GSI     NON
 18:15:00    8.90    3176     BPP     BPP
 18:15:00    8.90    3710     GSI     SGP
 18:15:00    8.90     300     SGP     SGP
 18:14:54    8.90      50     GSI     EVL
 18:14:50    8.90   15000     GSI     MLI
 18:14:49    8.90    2911     GSI     NEO
 18:14:49    8.90    1148     DBL     NEO
 18:14:41    8.90    1941     GSI     NEO
 18:14:41    8.90    1226     GSI     MLI
 18:14:41    8.90       4     GSI     MLI
 18:14:37    8.90     974     MLI     MLI
 18:14:37    8.90     100     MLI     MLI
 18:14:37    8.90    2150     MLI     SGP
 18:14:37    8.90     141     JPM     SGP
 18:14:36    8.90     796     MLI     NRD
 18:14:36    8.90     700     MLI     ENS
 18:14:36    8.90     200     MLI     NRD
 18:14:36    8.90     934     MLI     DBL
 18:14:36    8.90    2000     MLI     OPV
 18:14:36    8.90   10050     MLI     EPB
 18:14:36    8.90    3900     MLI     MSI
 18:14:36    8.90     557     MLI     MSI
 18:14:36    8.90   18097     MLI     MSI
 18:14:24    8.90    5000     EVL     MSI
 18:14:24    8.90    5000     EVL     EVL
 18:14:18    8.89    3000     ABC     NON
 18:14:16    8.90    1903     CDV     MSI
 18:14:16    8.90    1000     CDV     FIM
 18:14:15    8.89     200     SGP     SGP
 18:14:06    8.89    2166     ABC     CSB
 18:14:06    8.89    5000     ABC     ABN
 18:14:06    8.89     686     ABC     NRD
 18:14:06    8.89    2000     ABC     OPV
 18:14:06    8.89    1000     ABC     DBL
 18:14:06    8.89    2648     ABC     CSB
 18:14:06    8.89    8370     ABC     EPB
 18:13:59    8.88    1000     NEO     NRD
 18:13:53    8.88    1874     DBL     EVL
 18:13:51    8.88     528     CAR     EVL
 18:13:51    8.88     300     SGP     EVL
 18:13:51    8.88    4213     EQB     EVL
 18:13:51    8.88    2000     OPV     EVL
 18:13:51    8.88     479     MLI     EVL
 18:13:51    8.89     449     CAR     EPB
 18:13:48    8.88     120     MLI     NRD
 18:13:42    8.89    1231     MLI     EPB
 18:13:42    8.88     783     MLI     NIP
 18:13:42    8.88    6618     EVL     NIP
 18:13:42    8.89    2394     CAR     NIP
 18:13:42    8.89    2154     INT     NIP
 18:13:42    8.89    1407     MLI     NIP
 18:13:42    8.89   11644     ABC     NIP
